id,post_id,open_date,street,address,place_type,shop_centre,dns,lat,lon,response,district,post2,is_center,price,parking_count,parking_min_distance,finance_count,shop_count,distance_100,distance_500,cafe_count,culture_count,job_gov_count,metro_count,metro_min_distance,transport_count,transport_min_distance,working_days,work_hours,weekday_availability,office_hours,is_moscow
10919,140206,2017,ул. Рабочая,"ул. Рабочая, дом 101 А",ОПС Б1,FALSE,FALSE,55.2859211,38.7416718,"Рабочая улица, микрорайон «Коммуна», Воскресенск, Воскресенский район, Московская область, ЦФО, 140206, РФ",Воскресенск,140206,FALSE,48626,5,94.88183081,1,8,0.7005714286,4.265714286,1,0,2,0,,1,545.4810406,5,9,0,['пн.—пт.: 10:00–19:00'],FALSE
6002,,2015,пл. Ленина,"пл. Ленина, д.5 Технопарк",ТП,FALSE,FALSE,55.906368,36.8592864,"улица Ленина, Истра, городской округ Истра, Московская область, ЦФО, 143500, РФ",городской округ Истра,143500,FALSE,48626,0,,0,0,0.8994285714,65.963,0,0,0,0,,8,304.1500286,6,11,1,,FALSE
17012,,,пл. Ленина,"пл. Ленина, дом 5",ТП,FALSE,TRUE,55.906368,36.8592864,"улица Ленина, Истра, городской округ Истра, Московская область, ЦФО, 143500, РФ",городской округ Истра,143500,FALSE,48626,9,41.47669621,3,19,5.403142857,43.36328571,5,2,10,0,,8,304.1500286,6,11,1,,FALSE
23263,,2018,пл. Ленина,"пл. Ленина, дом 5 Технопарк",ТП,FALSE,FALSE,55.906368,36.8592864,"улица Ленина, Истра, городской округ Истра, Московская область, ЦФО, 143500, РФ",городской округ Истра,143500,FALSE,48626,9,41.47669621,3,19,5.403142857,43.36328571,5,2,10,0,,8,304.1500286,6,11,1,,FALSE
2786,,2013,ул. Зелинского,"ул. Зелинского, 3",ТП,FALSE,TRUE,55.3041495,38.6600848,"улица Зелинского, городское поселение Воскресенск, Воскресенский район, Московская область, ЦФО, 140209, РФ",Воскресенский,140209,FALSE,48626,10,146.8557362,2,12,1.648142857,32.89414286,5,0,0,0,,11,62.54871125,6,11,1,,FALSE
19402,,2018,ул. Менделеева,"ул. Менделеева, дом 7, Элекс",ТП,FALSE,FALSE,55.322185,38.6664479,"улица Менделеева, городское поселение Воскресенск, Воскресенский район, Московская область, ЦФО, 140205, РФ",Воскресенский,140205,FALSE,48626,9,214.7724373,2,11,1.902142857,27.87657143,5,1,6,0,,5,87.77147366,7,12,2,"['пн.—пт.: 09:00–21:00 сб., вс.: 10:00–17:00']",FALSE
13451,141650,2017,ул. Владыкина,"ул. Владыкина, дом 22",ОПС Б1,FALSE,FALSE,56.3209133,36.5530979,"улица Владыкина, Некрасино, Высоковск, городской округ Клин, Московская область, ЦФО, РФ",Высоковск,ЦФО,FALSE,,9,82.45846548,1,11,0.5115714286,18.72157143,2,2,4,0,,3,191.2341645,6,11,1,,FALSE
14075,143040,2017,ул. Советская,"ул. Советская, дом 52",ОПС Б1_2,FALSE,FALSE,55.6238226,36.9830739,"Отделение связи №143040, 52, Советская улица, Голицыно, Одинцовский городской округ, Московская область, ЦФО, 143050, РФ",Советская улица,143050,FALSE,,1,209.1310561,0,5,2.177714286,12.695,1,0,0,0,,2,319.6792291,6,10,1,"['пн., сб.: 09:00—18:00 вт.—пт.: 09:00—19:00']",FALSE
10154,143530,2017,ул. Клубная,"ул. Клубная, дом 2",ОПС Б1_2,FALSE,FALSE,55.8620037,37.1213729,"Клубная улица, Дедовск, городской округ Истра, Московская область, ЦФО, 143530, РФ",городской округ Истра,143530,FALSE,,17,84.88129381,3,14,1.032857143,18.61785714,6,1,7,0,,2,122.4994942,5,10,1,['вт.—пт.: 10:00—19:00 сб.: 09:00—18:00'],FALSE
8447,140090,2016,ул. Дзержинская,"ул. Дзержинская, дом 21",ОПС Б1_2,FALSE,FALSE,53.8486801,27.0654972,"Дзержинская, Путчинский сельский Совет, Дзержинский район, Минская область, 220000, Беларусь",Дзержинский,220000,FALSE,98715,14,257.5654132,0,7,0.3898571429,22.12471429,5,3,8,0,,6,75.55394303,5,9,1,['вт.—сб.: 09:00—18:00'],FALSE
